Site,Date,Plot,Density,Albedo,x,y,genotype,growout,source,lat,lon,Live,V,height,Length_mm,herbivory,frost_heave,notes
SheepStation,10/24/2022,3,low,black,16,4,62,2020,Lee 02,35.3984,-115.7845,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,16,5,58,2020,JackieOtt7,43.82,-101.94,N,NA,NA,NA,,,
SheepStation,10/24/2022,4,low,white,1,1,44,2020,Downs 03,45.9663,-120.3671,Y,V1,3.5,35,,,
SheepStation,10/24/2022,4,low,white,1,2,11,2020,Adler09,43.31,-112.27,Y,V1,3.9,39,,,
SheepStation,10/24/2022,4,low,white,1,3,73,2020,Pyke 08,46.74830998,-119.361636,Y,V1,3.9,39,,,
SheepStation,10/24/2022,4,low,white,1,4,53,2020,Hufft02,39.547444,-105.102111,Y,V1,4.7,47,,,
SheepStation,10/24/2022,4,low,white,1,5,35,2020,Chambers07,43.94,-116.19,Y,V1,6,60,,,
SheepStation,10/24/2022,4,low,white,2,1,1,2020,AAFC04,50.08,-120.65,Y,V1,4,40,,,
SheepStation,10/24/2022,4,low,white,2,2,87,2020,Schupp04,38.52,-113.55,Y,V0,2.1,21,,,
SheepStation,10/24/2022,4,low,white,2,3,52,2020,Hufft01,38.6701,-108.3286,Y,V1,4.2,42,,,
SheepStation,10/24/2022,4,low,white,2,4,49,2020,Getts3,40.43,-120.67,Y,V1,3.5,35,,,
SheepStation,10/24/2022,4,low,white,2,5,5,2020,AAFC08,49.57,-120.55,N,NA,NA,NA,,,
SheepStation,10/24/2022,4,low,white,3,1,42,2021,Downs 01,46.38145,-119.430272,Y,V1,5,50,,,
SheepStation,10/24/2022,4,low,white,3,2,79,2020,Pyle15,43.8,-119,Y,V1,1.7,17,,,
SheepStation,10/24/2022,4,low,white,3,3,84,2020,Reed03,38.75,-109.79,Y,V1,5.9,59,,,
SheepStation,10/24/2022,4,low,white,3,4,61,2020,Lee 01,36.82340833,-116.0163889,Y,V1,4.2,42,,,
SheepStation,10/24/2022,4,low,white,3,5,75,2020,Pyle01,42.35,-118.65,Y,V1,3.1,31,,,
SheepStation,10/24/2022,4,low,white,4,1,104,2020,Germino BOP 01,43.4720833,-116.2338306,Y,V1,4,40,,,
SheepStation,10/24/2022,4,low,white,4,2,39,2020,Copeland05,42.27,-118.71,Y,V1,4.9,49,,,
SheepStation,10/24/2022,4,low,white,4,3,6,2020,AAFC09,49.62,-119.8,Y,V0,3.1,31,,,
SheepStation,10/24/2022,4,low,white,4,4,82,2020,Pyle19,44.57,-119.65,Y,V0,2,20,,,
SheepStation,10/24/2022,4,low,white,4,5,84,2021,Reed03,38.75,-109.79,Y,V1,3.3,33,,,
SheepStation,10/24/2022,4,low,white,5,1,2,2020,AAFC05,50.09,-120.45,Y,V1,2.8,28,,,
SheepStation,10/24/2022,4,low,white,5,2,64,2020,Lee 04,35.4564,-115.52,Y,V1,5.9,59,,,
SheepStation,10/24/2022,4,low,white,5,3,93,2021,Urza02,40.84,-119.56,Y,V1,3.4,34,,,
SheepStation,10/24/2022,4,low,white,5,4,74,2020,Pyke 21,47.61803776,-119.6830115,Y,V1,5.5,55,,,
SheepStation,10/24/2022,4,low,white,5,5,56,2020,JackieOtt5,43.78,-102.61,Y,V1,4.6,46,,,
SheepStation,10/24/2022,4,low,white,6,1,33,2020,Chambers05,41.54,-117.75,Y,V1,4.3,43,,,
SheepStation,10/24/2022,4,low,white,6,2,75,2020,Pyle01,42.35,-118.65,Y,V1,4.9,49,,,
SheepStation,10/24/2022,4,low,white,6,3,60,2020,Fleishman_01,45.67,-111.03,N,NA,NA,NA,,,
SheepStation,10/24/2022,4,low,white,6,4,26,2020,Chynoweth01,39.76604,-109.5635,Y,V1,3.7,37,,,
SheepStation,10/24/2022,4,low,white,6,5,101,2020,Shriver01,34.06,-116.22,Y,V0,3.2,32,,,
SheepStation,10/24/2022,4,low,white,7,1,76,2020,Pyle09,43.42,-119.62,N,NA,NA,NA,,,
SheepStation,10/24/2022,4,low,white,7,2,100,2020,Chynoweth08,40.640878,-109.48689,Y,V1,2.6,26,,,
SheepStation,10/24/2022,4,low,white,7,3,32,2020,Chambers04,41.31,-117.63,Y,V0,3.2,32,,,
SheepStation,10/24/2022,4,low,white,7,4,66,2020,Maron1,46.68,-114.03,Y,V1,3.8,38,,,
SheepStation,10/24/2022,4,low,white,7,5,90,2020,Symstad2,43.87,-103.46,Y,V1,3.8,38,,,
SheepStation,10/24/2022,4,low,white,8,1,24,2020,Blumenthal08,40.64,-104.56,Y,V1,2.8,28,,,
SheepStation,10/24/2022,4,low,white,8,2,58,2020,JackieOtt7,43.82,-101.94,Y,V1,3.2,32,,,
SheepStation,10/24/2022,4,low,white,8,3,57,2020,JackieOtt6,43.84,-101.94,Y,V1,4.8,48,,,
SheepStation,10/24/2022,4,low,white,8,4,14,2020,Adler13,41.44,-111.08,Y,V1,2.7,27,,,
SheepStation,10/24/2022,4,low,white,8,5,9,2020,Adler05,40.79,-111.87,Y,V0,1,10,,,
SheepStation,10/24/2022,4,low,white,9,1,18,2020,Adler18,40.86,-114.22,Y,V1,4.9,49,,,
SheepStation,10/24/2022,4,low,white,9,2,37,2020,Chambers09,40.66,-116.73,Y,V1,3.1,31,,,
SheepStation,10/24/2022,4,low,white,9,3,81,2020,Pyle17,44.36,-118.93,Y,V1,4.2,42,,,
SheepStation,10/24/2022,4,low,white,9,4,43,2020,Downs 02,46.25045,-119.53334,Y,V1,4.5,45,,,
SheepStation,10/24/2022,4,low,white,9,5,68,2020,Porensky01,43.24,-105.18,N,NA,NA,NA,,,
SheepStation,10/24/2022,4,low,white,10,1,28,2020,Bradford01,35.23,-111.62,Y,V1,3.4,34,,,
SheepStation,10/24/2022,4,low,white,10,2,86,2020,Schupp03,38.6,-113.79,Y,V2,4.4,44,,,
SheepStation,10/24/2022,4,low,white,10,3,25,2020,Symstad6,41.83,-103.71,Y,V1,3.7,37,,,
SheepStation,10/24/2022,4,low,white,10,4,38,2021,Copeland01,43.7,-117.33,N,NA,NA,NA,,,
SheepStation,10/24/2022,4,low,white,10,5,12,2020,Schupp02,40.2,-112.46,Y,V1,4.9,49,,,
SheepStation,10/24/2022,4,low,white,11,1,103,2020,Davies03,42.68,-118.68,Y,V1,3.8,38,,,
SheepStation,10/24/2022,4,low,white,11,2,97,2021,Chynoweth03,39.83576,-109.61202,Y,V2,1.5,15,,,
SheepStation,10/24/2022,4,low,white,11,3,150,2022,Mancillas01,,,N,NA,NA,NA,,,
SheepStation,10/24/2022,4,low,white,11,4,77,2020,Pyle10,43.19,-120,Y,V1,3.3,33,,,
SheepStation,10/24/2022,4,low,white,11,5,55,2020,JackieOtt2,43.71,-102.32,N,NA,NA,NA,,,
SheepStation,10/24/2022,4,low,white,12,1,34,2020,Chambers06,41.54,-117.78,Y,V1,4.2,42,,,
SheepStation,10/24/2022,4,low,white,12,2,46,2020,Fleishman_05,39.12,-117.27,Y,V1,4.5,45,,,
SheepStation,10/24/2022,4,low,white,12,3,72,2020,Pyke 03,44.60456358,-120.1924183,Y,V1,3.8,38,,,
SheepStation,10/24/2022,4,low,white,12,4,47,2020,Fleishman_07,39.17,-117.44,Y,V1,4.2,42,,,
SheepStation,10/24/2022,4,low,white,12,5,65,2020,Leger 1,39.49,-119.84,Y,V1,4.4,44,,,
SheepStation,10/24/2022,4,low,white,13,1,89,2020,Symstad1,44.59,-104.71,Y,V1,3.8,38,,,
SheepStation,10/24/2022,4,low,white,13,2,54,2020,JackieOtt1,43.65,-102.97,Y,V1,4.7,47,,,
SheepStation,10/24/2022,4,low,white,13,3,51,2020,Holdrege1,41.61,-111.57,Y,V1,5.2,52,,,
SheepStation,10/24/2022,4,low,white,13,4,7,2020,AAFC10,49.71,-120.05,Y,V1,4.7,47,,,
SheepStation,10/24/2022,4,low,white,13,5,8,2020,Blumenthal01,41.18,-104.9,Y,V1,5.3,53,,,
SheepStation,10/24/2022,4,low,white,14,1,62,2020,Lee 02,35.3984,-115.7845,Y,V1,3.5,35,,,
SheepStation,10/24/2022,4,low,white,14,2,92,2020,Symstad4,43.71,-102.58,N,V0,NA,NA,,,
SheepStation,10/24/2022,4,low,white,14,3,31,2020,Urza01,40.35,-119.34,N,NA,NA,NA,,,
SheepStation,10/24/2022,4,low,white,14,4,83,2020,Reed01,38.52,-109.47,Y,V1,4.4,44,,,
SheepStation,10/24/2022,4,low,white,14,5,95,2021,Wilcox02,41.31,-105.66,N,NA,NA,NA,,,
SheepStation,10/24/2022,4,low,white,15,1,102,2020,Shriver02,48,-114.04,Y,V1,5.2,52,,,
SheepStation,10/24/2022,4,low,white,15,2,96,2020,Chynoweth02,40.29092,-109.68361,Y,V1,4,40,,,
SheepStation,10/24/2022,4,low,white,15,3,98,2021,Chynoweth05,40.480805,-109.438229,N,NA,NA,NA,,,
SheepStation,10/24/2022,4,low,white,15,4,63,2020,Lee 03,36.5247,-115.8987,Y,V1,4.1,41,,,
SheepStation,10/24/2022,4,low,white,15,5,29,2020,Chambers01,39.55,-119.58,N,NA,NA,NA,,,
SheepStation,10/24/2022,4,low,white,16,1,88,2020,Schupp05,39.11,-112.74,Y,V1,4.2,42,,,
SheepStation,10/24/2022,4,low,white,16,2,91,2020,Symstad3,43.62,-103.47,Y,V1,3.5,35,,,
SheepStation,10/24/2022,4,low,white,16,3,71,2020,Porensky30,40.63,-105.27,Y,V1,4.6,46,,,
SheepStation,10/24/2022,4,low,white,16,4,59,2020,Lavin01,44.68,-109.07,Y,V1,3.7,37,,,
SheepStation,10/24/2022,4,low,white,16,5,30,2020,Chambers02,39.95,-118.76,N,NA,NA,NA,,,
SheepStation,10/24/2022,5,low,white,1,1,2,2020,AAFC05,50.09,-120.45,Y,V1,3.2,32,,,
SheepStation,10/24/2022,5,low,white,1,2,62,2020,Lee 02,35.3984,-115.7845,Y,V2,3,30,,,
SheepStation,10/24/2022,5,low,white,1,3,53,2020,Hufft02,39.547444,-105.102111,Y,V1,3.3,33,,,
SheepStation,10/24/2022,5,low,white,1,4,56,2020,JackieOtt5,43.78,-102.61,N,NA,NA,NA,,,
SheepStation,10/24/2022,5,low,white,1,5,98,2020,Chynoweth05,40.480805,-109.438229,Y,V0,3.5,35,,,
SheepStation,10/24/2022,5,low,white,2,1,31,2020,Urza01,40.35,-119.34,Y,V2,3.2,32,,,
SheepStation,10/24/2022,5,low,white,2,2,74,2020,Pyke 21,47.61803776,-119.6830115,Y,V1,4.2,42,,,
SheepStation,10/24/2022,5,low,white,2,3,55,2020,JackieOtt2,43.71,-102.32,Y,V1,4.2,42,,,
SheepStation,10/24/2022,5,low,white,2,4,73,2020,Pyke 08,46.74830998,-119.361636,Y,V1,4.2,42,,,
SheepStation,10/24/2022,5,low,white,2,5,46,2020,Fleishman_05,39.12,-117.27,N,NA,NA,NA,,,
SheepStation,10/24/2022,5,low,white,3,1,97,2021,Chynoweth03,39.83576,-109.61202,Y,V1,2.5,25,,,
SheepStation,10/24/2022,5,low,white,3,2,12,2020,Schupp02,40.2,-112.46,Y,V1,1.9,19,,,
SheepStation,10/24/2022,5,low,white,3,3,57,2020,JackieOtt6,43.84,-101.94,Y,V1,4.3,43,,,
SheepStation,10/24/2022,5,low,white,3,4,11,2020,Adler09,43.31,-112.27,Y,V1,4.2,42,,,
SheepStation,10/24/2022,5,low,white,3,5,61,2020,Lee 01,36.82340833,-116.0163889,Y,V1,3.8,38,,,
SheepStation,10/24/2022,5,low,white,4,1,91,2020,Symstad3,43.62,-103.47,Y,V1,4.4,44,,,
SheepStation,10/24/2022,5,low,white,4,2,87,2020,Schupp04,38.52,-113.55,Y,V1,3.5,35,,,
SheepStation,10/24/2022,5,low,white,4,3,88,2021,Schupp05,39.11,-112.74,Y,V0,3.3,33,,,
SheepStation,10/24/2022,5,low,white,4,4,88,2020,Schupp05,39.11,-112.74,Y,V1,3.2,32,,,
SheepStation,10/24/2022,5,low,white,4,5,96,2020,Chynoweth02,40.29092,-109.68361,Y,V1,4.9,49,,,
SheepStation,10/24/2022,5,low,white,5,1,68,2020,Porensky01,43.24,-105.18,Y,V0,3.7,37,,,
SheepStation,10/24/2022,5,low,white,5,2,18,2020,Adler18,40.86,-114.22,Y,V1,2.7,27,,,
SheepStation,10/24/2022,5,low,white,5,3,7,2020,AAFC10,49.71,-120.05,N,NA,NA,NA,,,
SheepStation,10/24/2022,5,low,white,5,4,95,2020,Wilcox02,41.31,-105.66,Y,V0,2.8,28,,,
SheepStation,10/24/2022,5,low,white,5,5,103,2020,Davies03,42.68,-118.68,Y,V1,4,40,,,
SheepStation,10/24/2022,5,low,white,6,1,39,2020,Copeland05,42.27,-118.71,Y,V1,4.2,42,,,
SheepStation,10/24/2022,5,low,white,6,2,45,2020,Fleishman_01,38.47,-119.49,Y,V1,3.2,32,,,
SheepStation,10/24/2022,5,low,white,6,3,75,2020,Pyle01,42.35,-118.65,N,NA,NA,NA,,,
SheepStation,10/24/2022,5,low,white,6,4,84,2020,Reed03,38.75,-109.79,Y,V0,1.1,11,,,
SheepStation,10/24/2022,5,low,white,6,5,25,2020,Symstad6,41.83,-103.71,N,NA,NA,NA,,,
SheepStation,10/24/2022,5,low,white,7,1,7,2020,AAFC10,49.71,-120.05,Y,V1,3.9,39,,,
SheepStation,10/24/2022,5,low,white,7,2,84,2021,Reed03,38.75,-109.79,Y,V0,3.2,32,,,
SheepStation,10/24/2022,5,low,white,7,3,43,2020,Downs 02,46.25045,-119.53334,N,NA,NA,NA,,,
SheepStation,10/24/2022,5,low,white,7,4,34,2020,Chambers06,41.54,-117.78,N,NA,NA,NA,,,
SheepStation,10/24/2022,5,low,white,7,5,72,2020,Pyke 03,44.60456358,-120.1924183,Y,V0,3.3,33,,,
SheepStation,10/24/2022,5,low,white,8,1,63,2020,Lee 03,36.5247,-115.8987,Y,V1,3.4,34,,,
SheepStation,10/24/2022,5,low,white,8,2,92,2020,Symstad4,43.71,-102.58,Y,V0,0.5,5,,,
SheepStation,10/24/2022,5,low,white,8,3,100,2020,Chynoweth08,40.640878,-109.48689,N,NA,NA,NA,,,
SheepStation,10/24/2022,5,low,white,8,4,68,2020,Porensky01,43.24,-105.18,Y,V0,0.3,3,,,
SheepStation,10/24/2022,5,low,white,8,5,54,2020,JackieOtt1,43.65,-102.97,Y,V0,0.7,7,,,
SheepStation,10/24/2022,5,low,white,9,1,19,2020,Barnett01,43.48,-110.74,N,NA,NA,NA,,,
SheepStation,10/24/2022,5,low,white,9,2,9,2020,Adler05,40.79,-111.87,Y,V1,6,60,,,
SheepStation,10/24/2022,5,low,white,9,3,89,2020,Symstad1,44.59,-104.71,Y,V1,4.2,42,,,
SheepStation,10/24/2022,5,low,white,9,4,150,2022,Mancillas01,,,Y,V1,3.5,35,,,
SheepStation,10/24/2022,5,low,white,9,5,44,2020,Downs 03,45.9663,-120.3671,Y,V1,5,50,,,
SheepStation,10/24/2022,5,low,white,10,1,77,2020,Pyle10,43.19,-120,Y,V1,4.9,49,,,
SheepStation,10/24/2022,5,low,white,10,2,82,2020,Pyle19,44.57,-119.65,Y,V1,4.8,48,,,
SheepStation,10/24/2022,5,low,white,10,3,93,2021,Urza02,40.84,-119.56,Y,V1,4,40,,,
SheepStation,10/24/2022,5,low,white,10,4,49,2020,Getts3,40.43,-120.67,Y,V2,3.9,39,,,
SheepStation,10/24/2022,5,low,white,10,5,1,2020,AAFC04,50.08,-120.65,Y,V1,3.4,34,,,
SheepStation,10/24/2022,5,low,white,11,1,64,2020,Lee 04,35.4564,-115.52,Y,V1,4.5,45,,,
SheepStation,10/24/2022,5,low,white,11,2,66,2020,Maron1,46.68,-114.03,Y,V1,4.7,47,,,
SheepStation,10/24/2022,5,low,white,11,3,51,2020,Holdrege1,41.61,-111.57,Y,V1,4.4,44,,,
SheepStation,10/24/2022,5,low,white,11,4,83,2020,Reed01,38.52,-109.47,Y,V1,3.7,37,,,
SheepStation,10/24/2022,5,low,white,11,5,47,2020,Fleishman_07,39.17,-117.44,Y,V1,4.4,44,,,
SheepStation,10/24/2022,5,low,white,12,1,104,2020,Germino BOP 01,43.4720833,-116.2338306,Y,V0,3.9,39,,,
SheepStation,10/24/2022,5,low,white,12,2,32,2020,Chambers04,41.31,-117.63,Y,V1,2.9,29,,,
SheepStation,10/24/2022,5,low,white,12,3,65,2020,Leger 1,39.49,-119.84,Y,V1,4.7,47,,,
SheepStation,10/24/2022,5,low,white,12,4,76,2020,Pyle09,43.42,-119.62,Y,V1,4.6,46,,,
SheepStation,10/24/2022,5,low,white,12,5,52,2020,Hufft01,38.6701,-108.3286,N,NA,NA,NA,,,
SheepStation,10/24/2022,5,low,white,13,1,71,2020,Porensky30,40.63,-105.27,Y,V0,3.8,38,,,
SheepStation,10/24/2022,5,low,white,13,2,59,2020,Lavin01,44.68,-109.07,Y,V1,4.1,41,,,
SheepStation,10/24/2022,5,low,white,13,3,90,2020,Symstad2,43.87,-103.46,Y,V1,3.8,38,,,
SheepStation,10/24/2022,5,low,white,13,4,36,2020,Chambers08,42.24,-114.57,N,NA,NA,NA,,,
SheepStation,10/24/2022,5,low,white,13,5,79,2020,Pyle15,43.8,-119,N,NA,NA,NA,,,
SheepStation,10/24/2022,5,low,white,14,1,81,2020,Pyle17,44.36,-118.93,Y,V1,2.9,29,,,
SheepStation,10/24/2022,5,low,white,14,2,33,2020,Chambers05,41.54,-117.75,N,NA,NA,NA,,,
SheepStation,10/24/2022,5,low,white,14,3,58,2020,JackieOtt7,43.82,-101.94,Y,V1,3.2,32,,,
SheepStation,10/24/2022,5,low,white,14,4,101,2020,Shriver01,34.06,-116.22,Y,V1,4.8,48,,,
SheepStation,10/24/2022,5,low,white,14,5,5,2020,AAFC08,49.57,-120.55,N,NA,NA,NA,,,
SheepStation,10/24/2022,5,low,white,15,1,6,2020,AAFC09,49.62,-119.8,Y,V1,4,40,,,
SheepStation,10/24/2022,5,low,white,15,2,38,2021,Copeland01,43.7,-117.33,N,NA,NA,NA,,,
SheepStation,10/24/2022,5,low,white,15,3,42,2021,Downs 01,46.38145,-119.430272,Y,V0,3.2,32,,,
SheepStation,10/24/2022,5,low,white,15,4,30,2020,Chambers02,39.95,-118.76,N,NA,NA,NA,,,
SheepStation,10/24/2022,5,low,white,15,5,29,2020,Chambers01,39.55,-119.58,N,NA,NA,NA,,,
SheepStation,10/24/2022,5,low,white,16,1,28,2020,Bradford01,35.23,-111.62,Y,V0,3.3,33,,,
SheepStation,10/24/2022,5,low,white,16,2,8,2020,Blumenthal01,41.18,-104.9,N,NA,NA,NA,,,
SheepStation,10/24/2022,5,low,white,16,3,24,2020,Blumenthal08,40.64,-104.56,N,NA,NA,NA,,,
SheepStation,10/24/2022,5,low,white,16,4,37,2020,Chambers09,40.66,-116.73,N,NA,NA,NA,,,
SheepStation,10/24/2022,5,low,white,16,5,35,2020,Chambers07,43.94,-116.19,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,1,1,81,2020,Pyle17,44.36,-118.93,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,1,2,6,2020,AAFC09,49.62,-119.8,Y,V1,4.2,42,,,
SheepStation,10/24/2022,6,low,black,1,3,8,2020,Blumenthal01,41.18,-104.9,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,1,4,33,2020,Chambers05,41.54,-117.75,Y,V0,0.4,4,,,
SheepStation,10/24/2022,6,low,black,1,5,55,2020,JackieOtt2,43.71,-102.32,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,2,1,37,2020,Chambers09,40.66,-116.73,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,2,2,89,2020,Symstad1,44.59,-104.71,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,2,3,150,2022,Mancillas01,,,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,2,4,36,2020,Chambers08,42.24,-114.57,Y,V0,1.5,15,,,
SheepStation,10/24/2022,6,low,black,2,5,74,2020,Pyke 21,47.61803776,-119.6830115,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,3,1,98,2021,Chynoweth05,40.480805,-109.438229,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,3,2,95,2020,Wilcox02,41.31,-105.66,Y,V1,0.5,5,,,
SheepStation,10/24/2022,6,low,black,3,3,39,2020,Copeland05,42.27,-118.71,Y,V1,1.3,13,,,
SheepStation,10/24/2022,6,low,black,3,4,66,2020,Maron1,46.68,-114.03,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,3,5,44,2020,Downs 03,45.9663,-120.3671,Y,V0,1,10,,,
SheepStation,10/24/2022,6,low,black,4,1,32,2020,Chambers04,41.31,-117.63,Y,V1,2.3,23,,,
SheepStation,10/24/2022,6,low,black,4,2,1,2020,AAFC04,50.08,-120.65,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,4,3,49,2020,Getts3,40.43,-120.67,Y,V1,3,30,,,
SheepStation,10/24/2022,6,low,black,4,4,38,2021,Copeland01,43.7,-117.33,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,4,5,2,2020,AAFC05,50.09,-120.45,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,5,1,83,2020,Reed01,38.52,-109.47,Y,V0,0.5,5,,,
SheepStation,10/24/2022,6,low,black,5,2,45,2020,Fleishman_01,38.47,-119.49,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,5,3,46,2020,Fleishman_05,39.12,-117.27,Y,V0,1.7,17,,,
SheepStation,10/24/2022,6,low,black,5,4,86,2021,Schupp03,38.6,-113.79,Y,V0,0.4,4,,,
SheepStation,10/24/2022,6,low,black,5,5,68,2020,Porensky01,43.24,-105.18,Y,V0,4.2,42,,,
SheepStation,10/24/2022,6,low,black,6,1,90,2020,Symstad2,43.87,-103.46,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,6,2,12,2020,Schupp02,40.2,-112.46,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,6,3,76,2020,Pyle09,43.42,-119.62,Y,V0,2,20,,,
SheepStation,10/24/2022,6,low,black,6,4,101,2020,Shriver01,34.06,-116.22,Y,V1,5.3,53,,,
SheepStation,10/24/2022,6,low,black,6,5,75,2020,Pyle01,42.35,-118.65,Y,V1,4.8,48,,,
SheepStation,10/24/2022,6,low,black,7,1,92,2020,Symstad4,43.71,-102.58,Y,V0,0.5,5,,,
SheepStation,10/24/2022,6,low,black,7,2,97,2020,Chynoweth03,39.83576,-109.61202,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,7,3,28,2020,Bradford01,35.23,-111.62,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,7,4,43,2020,Downs 02,46.25045,-119.53334,Y,V1,4.9,49,,,
SheepStation,10/24/2022,6,low,black,7,5,56,2020,JackieOtt5,43.78,-102.61,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,8,1,30,2020,Chambers02,39.95,-118.76,Y,V1,0.7,7,Y,,
SheepStation,10/24/2022,6,low,black,8,2,82,2020,Pyle19,44.57,-119.65,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,8,3,72,2020,Pyke 03,44.60456358,-120.1924183,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,8,4,61,2020,Lee 01,36.82340833,-116.0163889,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,8,5,73,2020,Pyke 08,46.74830998,-119.361636,Y,V1,5.9,59,,,
SheepStation,10/24/2022,6,low,black,9,1,25,2020,Symstad6,41.83,-103.71,Y,V1,3.4,34,,,
SheepStation,10/24/2022,6,low,black,9,2,58,2020,JackieOtt7,43.82,-101.94,Y,V0,2.4,24,,,
SheepStation,10/24/2022,6,low,black,9,3,82,2020,Pyle19,44.57,-119.65,Y,V0,0.1,1,,,
SheepStation,10/24/2022,6,low,black,9,4,91,2020,Symstad3,43.62,-103.47,Y,V1,2.3,23,,,
SheepStation,10/24/2022,6,low,black,9,5,5,2020,AAFC08,49.57,-120.55,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,10,1,26,2020,Chynoweth01,39.76604,-109.5635,Y,V1,2.3,23,,,
SheepStation,10/24/2022,6,low,black,10,2,52,2020,Hufft01,38.6701,-108.3286,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,10,3,65,2020,Leger 1,39.49,-119.84,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,10,4,103,2020,Davies03,42.68,-118.68,Y,V1,4.8,48,,,
SheepStation,10/24/2022,6,low,black,10,5,35,2020,Chambers07,43.94,-116.19,Y,V1,3.6,36,,,
SheepStation,10/24/2022,6,low,black,11,1,9,2020,Adler05,40.79,-111.87,Y,V2,4,40,,,
SheepStation,10/24/2022,6,low,black,11,2,53,2020,Hufft02,39.547444,-105.102111,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,11,3,71,2020,Porensky30,40.63,-105.27,Y,V1,4.4,44,,,
SheepStation,10/24/2022,6,low,black,11,4,88,2021,Schupp05,39.11,-112.74,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,11,5,59,2020,Lavin01,44.68,-109.07,Y,V1,5.7,57,,,
SheepStation,10/24/2022,6,low,black,12,1,47,2020,Fleishman_07,39.17,-117.44,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,12,2,64,2020,Lee 04,35.4564,-115.52,Y,V1,4.9,49,,,
SheepStation,10/24/2022,6,low,black,12,3,54,2020,JackieOtt1,43.65,-102.97,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,12,4,14,2020,Adler13,41.44,-111.08,Y,V0,4.1,41,,,
SheepStation,10/24/2022,6,low,black,12,5,62,2020,Lee 02,35.3984,-115.7845,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,13,1,77,2020,Pyle10,43.19,-120,Y,V0,0.7,7,,,
SheepStation,10/24/2022,6,low,black,13,2,18,2020,Adler18,40.86,-114.22,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,13,3,57,2020,JackieOtt6,43.84,-101.94,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,13,4,51,2020,Holdrege1,41.61,-111.57,Y,V1,0.3,3,Y,,
SheepStation,10/24/2022,6,low,black,13,5,29,2020,Chambers01,39.55,-119.58,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,14,1,34,2020,Chambers06,41.54,-117.78,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,14,2,31,2020,Urza01,40.35,-119.34,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,14,3,87,2020,Schupp04,38.52,-113.55,Y,V2,4.1,41,,,
SheepStation,10/24/2022,6,low,black,14,4,24,2020,Blumenthal08,40.64,-104.56,Y,V1,4.9,49,,,
SheepStation,10/24/2022,6,low,black,14,5,96,2020,Chynoweth02,40.29092,-109.68361,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,15,1,102,2020,Shriver02,48,-114.04,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,15,2,93,2021,Urza02,40.84,-119.56,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,15,3,7,2020,AAFC10,49.71,-120.05,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,15,4,100,2020,Chynoweth08,40.640878,-109.48689,Y,V0,0.7,7,,,
SheepStation,10/24/2022,6,low,black,15,5,84,2020,Reed03,38.75,-109.79,Y,V1,3.8,38,,,
SheepStation,10/24/2022,6,low,black,16,1,11,2020,Adler09,43.31,-112.27,N,NA,NA,NA,,,
SheepStation,10/24/2022,6,low,black,16,2,104,2020,Germino BOP 01,43.4720833,-116.2338306,Y,V1,0.8,8,Y,,
